timestamp,RDS_CPUUtilization,RDS_FreeableMemory,RDS_DatabaseConnections,RDS_WriteIOPS
1/29/23 23:33,90.40442475,,0,6466
3/3/23 15:02,50.23965696,,0,1438
6/6/23 5:45,10.08700131,64.38613984,0,5678
6/11/23 18:41,52.75819783,79.32597016,0,1892
3/14/23 17:28,71.12289341,65.64970588,0,538
5/7/23 21:37,31.29542768,38.03738914,0,1756
7/6/23 21:16,5.032535136,22.29270832,0,
5/12/23 5:04,12.32820579,26.62198549,1,5452
7/10/23 13:37,77.96907504,36.73266715,1,9076
2/13/23 3:55,94.80218741,,0,4567
6/28/23 20:23,71.81860323,0.372206648,1,1849
2/10/23 11:03,75.38935813,16.35947619,0,894
7/16/23 2:32,10.96489738,86.65232292,0,
3/14/23 5:21,63.81499304,,1,826
1/8/23 3:32,28.94506678,99.28612947,1,3892
7/9/23 23:43,36.17020045,42.31030241,0,595
3/19/23 23:50,0.315977629,14.72019128,0,864
7/19/23 14:42,4.35242611,39.88775626,0,972
5/5/23 15:45,79.41940947,44.82252261,0,1938
6/25/23 17:03,77.74682746,70.17041326,0,7673
5/5/23 12:54,56.41193767,60.43878612,1,3280
7/2/23 5:05,38.7367743,30.88460269,0,6796
4/16/23 18:24,34.51456434,32.50457537,1,5526
6/26/23 2:24,41.00410212,65.07086206,1,337
,6.705749087,27.65762357,0,713
7/15/23 10:02,97.35684695,40.02173246,0,4350
5/24/23 7:42,6.40592184,94.00517587,0,7992
,10.84415291,45.69834906,0,6357
,47.85963604,13.21248814,0,9638
1/29/23 17:55,87.14837791,,0,3488
4/30/23 9:03,98.03097341,48.65783204,1,3092
6/18/23 12:02,,,0,5414
1/12/23 5:15,87.71606623,,0,1757
,26.7576409,36.4423625,1,8907
3/10/23 23:52,61.58697437,29.58424221,1,8556
4/11/23 8:38,44.98016364,24.28189328,0,9780
7/4/23 4:30,61.76157606,28.94396441,1,8342
4/5/23 10:28,80.28146307,,0,7242
5/29/23 9:20,3.813337321,57.6044975,0,2006
4/24/23 23:04,29.64156741,,1,1757
2/28/23 12:49,,63.11666826,1,1294
,,70.25513806,0,7005
3/1/23 22:47,74.50476606,39.59163805,0,5759
3/31/23 3:15,59.30746377,41.464468,1,8110
2/5/23 15:48,34.36011826,70.06554246,0,4157
5/29/23 20:14,30.26601258,24.94658557,0,4272
4/16/23 10:50,27.96797563,45.1950151,1,4438
,92.10704793,12.77995764,1,6190
4/30/23 22:30,87.5321134,17.56050335,0,2691
6/16/23 7:17,84.13542941,8.152161558,0,8673
5/14/23 5:27,87.04044255,83.3769366,0,1206
6/11/23 13:45,82.13548026,99.62825323,0,
5/15/23 9:21,97.83079744,60.53986312,0,7977
4/30/23 12:07,79.8559688,50.85218792,0,4123
4/27/23 10:44,67.7149126,2.963146793,1,9083
5/19/23 7:02,43.50625601,14.25093987,0,2757
5/31/23 10:52,94.75319952,,0,463
1/19/23 12:31,60.8883761,61.67724467,1,7633
3/1/23 1:59,96.97980202,93.82891059,0,1684
2/15/23 3:27,7.588160269,75.01410388,1,6430
5/31/23 19:08,4.949169034,35.58355237,0,454
1/15/23 8:03,79.52277108,70.54171002,0,3351
2/12/23 19:14,21.91986099,31.88704216,1,7983
4/10/23 12:31,33.33395681,16.23396814,0,
4/3/23 16:44,22.41100614,52.33928524,0,
4/21/23 23:16,4.640910732,78.21289093,1,8390
4/15/23 22:09,73.45348619,25.34989221,1,20
4/25/23 17:54,19.23256634,19.59154445,0,
5/19/23 16:29,84.48246109,52.52553908,0,7817
5/26/23 9:27,83.29867716,92.12518483,0,712
3/29/23 9:00,80.12317443,92.73811524,0,5254
5/22/23 19:43,65.36706803,,0,6357
4/3/23 0:15,34.72458127,66.22047524,0,8071
4/19/23 1:49,46.97823111,17.83964277,1,9642
3/5/23 5:38,10.03120654,81.29147199,0,8669
3/18/23 16:58,19.86537908,54.85217928,0,9155
3/21/23 1:53,60.84390123,4.482644228,0,1705
1/16/23 19:13,25.289856,98.92105063,0,8997
,35.45725728,40.21210799,0,6442
1/2/23 15:05,50.36794336,95.42420817,0,7602
7/8/23 22:31,21.01177308,90.90099658,0,6649
5/10/23 6:23,87.38078367,99.88362851,0,152
,2.474494282,,0,
3/12/23 15:42,66.1755624,66.82639929,0,771
3/22/23 7:38,93.40397601,5.288377879,0,5289
